DrawScene total: 7ms | BG: 0ms | Map: 7ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 7ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 5ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 7ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 10ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 12ms | BG: 0ms | Map: 11ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 10ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 104ms | BG: 0ms | Map: 103ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 99ms | BG: 0ms | Map: 97ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 9ms | BG: 0ms | Map: 8ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 28ms | BG: 0ms | Map: 26ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 9ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 16ms | BG: 0ms | Map: 14ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 15ms | BG: 0ms | Map: 12ms | Light: 2ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 10ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 30ms | BG: 0ms | Map: 27ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 9ms | BG: 0ms | Map: 8ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 9ms | BG: 0ms | Map: 8ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 156ms | BG: 0ms | Map: 156ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 12ms | BG: 0ms | Map: 11ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 42ms | BG: 0ms | Map: 42ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 115ms | BG: 0ms | Map: 115ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 24ms | BG: 0ms | Map: 23ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 40ms | BG: 0ms | Map: 39ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 15ms | BG: 0ms | Map: 15ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 10ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 35ms | BG: 0ms | Map: 34ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 238ms | BG: 0ms | Map: 238ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 109ms | BG: 0ms | Map: 109ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 98ms | BG: 0ms | Map: 98ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 62ms | BG: 0ms | Map: 61ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 7ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 5ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 14ms | BG: 0ms | Map: 14ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 13ms | BG: 0ms | Map: 13ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 12ms | BG: 0ms | Map: 12ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 45ms | BG: 0ms | Map: 45ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 32ms | BG: 0ms | Map: 32ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
